,Speed,SegmentSize,TotalFuel
303,12.5,2500,0.692743852
304,13,2500,0.74547273
305,13.5,2500,0.802365186
306,14,2500,0.863645236
307,14.5,2500,0.929480646
308,15,2500,1
309,15.5,2500,1.075402945
310,16,2500,1.155792228
311,16.5,2500,1.241332159
312,17,2500,1.332341342
313,17.5,2500,1.428770567
314,18,2500,1.530902831
315,18.5,2500,1.638895672
316,19,2500,1.75149062
317,19.5,2500,1.871383437
318,20,2500,1.997570458
319,20.5,2500,2.130278921
320,21,2500,2.269584858
321,21.5,2500,2.415681884
322,22,2500,2.568757015
323,22.5,2500,2.722636391
324,23,2500,2.878734246
325,23.5,2500,3.032706663
338,6,2900,0.305435488
339,6.5,2900,0.318326124
340,7,2900,0.335306804
341,7.5,2900,0.352592128
342,8,2900,0.365442724
343,8.5,2900,0.388153236
344,9,2900,0.416501955
345,9.5,2900,0.444804624
346,10,2900,0.479009132
347,10.5,2900,0.513598081
348,11,2900,0.551636084
349,11.5,2900,0.593210225
350,12,2900,0.638716346
351,12.5,2900,0.688088248
352,13,2900,0.741592046
353,13.5,2900,0.799369961
354,14,2900,0.861588232
355,14.5,2900,0.92840598
356,15,2900,1
357,15.5,2900,1.076530965
358,16,2900,1.158181045
359,16.5,2900,1.245062809
360,17,2900,1.33734562
361,17.5,2900,1.435295756
362,18,2900,1.538977402
363,18.5,2900,1.64856479
364,19,2900,1.764256802
365,19.5,2900,1.884123721
366,20,2900,2.009738291
367,20.5,2900,2.13876976
368,21,2900,2.273065385
369,21.5,2900,2.419561633
370,22,2900,2.581865958
371,22.5,2900,2.743400609
372,23,2900,2.907618882
373,23.5,2900,3.083617549
374,24,2900,3.23855156
375,24.5,2900,3.421687445
384,5,3500,0.316998749
385,5.5,3500,0.325703436
386,6,3500,0.325968205
387,6.5,3500,0.338488213
388,7,3500,0.350366727
389,7.5,3500,0.36724989
390,8,3500,0.385627712
391,8.5,3500,0.40753341
392,9,3500,0.436021519
393,9.5,3500,0.463409878
394,10,3500,0.493803022
395,10.5,3500,0.527413452
396,11,3500,0.56435466
397,11.5,3500,0.604804474
398,12,3500,0.648971265
399,12.5,3500,0.69694336
400,13,3500,0.748944501
401,13.5,3500,0.805073146
402,14,3500,0.865523188
403,14.5,3500,0.930464518
404,15,3500,1
405,15.5,3500,1.074380404
406,16,3500,1.153693976
407,16.5,3500,1.238129074
408,17,3500,1.32782628
409,17.5,3500,1.422978988
410,18,3500,1.523719894
411,18.5,3500,1.630193264
412,19,3500,1.742590306
413,19.5,3500,1.861072401
414,20,3500,1.985805349
415,20.5,3500,2.116914662
416,21,3500,2.254561459
417,21.5,3500,2.398937399
418,22,3500,2.540696656
419,22.5,3500,2.697999775
420,23,3500,2.858500064
421,23.5,3500,3.025586866
422,24,3500,3.20404465
423,24.5,3500,3.385864817
424,25,3500,3.561711187
438,8,4500.1,0.358140712
439,8.5,4500.1,0.381020359
440,9,4500.1,0.411234878
441,9.5,4500.1,0.439812354
442,10,4500.1,0.472102431
443,10.5,4500.1,0.507133747
444,11,4500.1,0.548297981
445,11.5,4500.1,0.590264618
446,12,4500.1,0.637045334
447,12.5,4500.1,0.686658137
448,13,4500.1,0.740403482
449,13.5,4500.1,0.798437326
450,14,4500.1,0.860938863
451,14.5,4500.1,0.928076515
452,15,4500.1,1
453,15.5,4500.1,1.076877814
454,16,4500.1,1.158860681
455,16.5,4500.1,1.246190345
456,17,4500.1,1.33893611
457,17.5,4500.1,1.437284621
458,18,4500.1,1.54145407
459,18.5,4500.1,1.651559876
460,19,4500.1,1.767781089
461,19.5,4500.1,1.890278933
462,20,4500.1,2.019229267
463,20.5,4500.1,2.154708742
464,21,4500.1,2.297098558
465,21.5,4500.1,2.446389788
466,22,4500.1,2.602766659
467,22.5,4500.1,2.766418547
468,23,4500.1,2.937494494
469,23.5,4500.1,3.116206979
470,24,4500.1,3.302679465
471,24.5,4500.1,3.497051971
472,25,4500.1,3.687310262
473,25.5,4500.1,3.922534772
474,26,4500.1,4.120949704
475,26.5,4500.1,4.340052866
476,27,4500.1,4.604912541
477,27.5,4500.1,4.851161305
478,28,4500.1,5.06633124
486,8,4500.2,0.346395773
487,8.5,4500.2,0.369700285
488,9,4500.2,0.395875815
489,9.5,4500.2,0.425240289
490,10,4500.2,0.459525969
491,10.5,4500.2,0.495379341
492,11,4500.2,0.533578482
493,11.5,4500.2,0.576903084
494,12,4500.2,0.624177431
495,12.5,4500.2,0.675552067
496,13,4500.2,0.731187189
497,13.5,4500.2,0.791294618
498,14,4500.2,0.856005142
499,14.5,4500.2,0.925524383
500,15,4500.2,1
501,15.5,4500.2,1.079621159
502,16,4500.2,1.164532372
503,16.5,4500.2,1.254909013
504,17,4500.2,1.350949861
505,17.5,4500.2,1.452811265
506,18,4500.2,1.560661504
507,18.5,4500.2,1.674672389
508,19,4500.2,1.795006122
509,19.5,4500.2,1.921847536
510,20,4500.2,2.055373733
511,20.5,4500.2,2.19572071
512,21,4500.2,2.343090083
513,21.5,4500.2,2.497694639
514,22,4500.2,2.659622377
515,22.5,4500.2,2.829068325
516,23,4500.2,3.006246399
517,23.5,4500.2,3.204863584
518,24,4500.2,3.392800886
519,24.5,4500.2,3.588403739
520,25,4500.2,3.791189654
521,25.5,4500.2,3.985071429
522,26,4500.2,4.23109025
523,26.5,4500.2,4.456785247
524,27,4500.2,4.689945348
525,27.5,4500.2,4.91873719
538,10,5500,0.510261811
539,10.5,5500,0.542771119
540,11,5500,0.582681756
541,11.5,5500,0.621447493
542,12,5500,0.663743226
543,12.5,5500,0.709707287
544,13,5500,0.759494218
545,13.5,5500,0.813263741
546,14,5500,0.871132235
547,14.5,5500,0.933367521
548,15,5500,1
549,15.5,5500,1.071229965
550,16,5500,1.147202861
551,16.5,5500,1.228080553
552,17,5500,1.314015385
553,17.5,5500,1.405145521
554,18,5500,1.501649117
555,18.5,5500,1.603647052
556,19,5500,1.711309474
557,19.5,5500,1.824812393
558,20,5500,1.944294014
559,20.5,5500,2.069853803
560,21,5500,2.201722843
561,21.5,5500,2.340037777
562,22,5500,2.484923511
563,22.5,5500,2.63653955
564,23,5500,2.795047352
565,23.5,5500,2.960609322
566,24,5500,3.121545195
567,24.5,5500,3.300651139
568,25,5500,3.487231351
569,25.5,5500,3.681401258
570,26,5500,3.883359861
571,26.5,5500,4.069411642
572,27,5500,4.252167613
573,27.5,5500,4.444192131
574,28,5500,4.647222481
582,8,6500,0.369986453
583,8.5,6500,0.392484994
584,9,6500,0.423080048
585,9.5,6500,0.451058325
586,10,6500,0.481442409
587,10.5,6500,0.515847231
588,11,6500,0.555917999
589,11.5,6500,0.59716511
590,12,6500,0.642161878
591,12.5,6500,0.691077982
592,13,6500,0.744071965
593,13.5,6500,0.801277614
594,14,6500,0.862909424
595,14.5,6500,0.929088726
596,15,6500,1
597,15.5,6500,1.075801999
598,16,6500,1.15661671
599,16.5,6500,1.242716129
600,17,6500,1.334175855
601,17.5,6500,1.431147212
602,18,6500,1.533795475
603,18.5,6500,1.642379581
604,19,6500,1.756954055
605,19.5,6500,1.877730316
606,20,6500,2.004836723
607,20.5,6500,2.13849926
608,21,6500,2.278876733
609,21.5,6500,2.42598997
610,22,6500,2.580174694
611,22.5,6500,2.741520782
612,23,6500,2.910208239
613,23.5,6500,3.086380934
614,24,6500,3.270207725
615,24.5,6500,3.461868069
616,25,6500,3.662640897
617,25.5,6500,3.864490574
618,26,6500,4.066927653
619,26.5,6500,4.282835688
620,27,6500,4.506203763
621,27.5,6500,4.728353974
622,28,6500,4.947535294
623,28.5,6500,5.123156348
632,9,8500.1,0.423973843
633,9.5,8500.1,0.451938655
634,10,8500.1,0.48988791
635,10.5,8500.1,0.523742344
636,11,8500.1,0.558658613
637,11.5,8500.1,0.599655453
638,12,8500.1,0.645093993
639,12.5,8500.1,0.693599894
640,13,8500.1,0.746152986
641,13.5,8500.1,0.802912548
642,14,8500.1,0.864031838
643,14.5,8500.1,0.929667814
644,15,8500.1,1
645,15.5,8500.1,1.075185077
646,16,8500.1,1.155374343
647,16.5,8500.1,1.240742266
648,17,8500.1,1.331427864
649,17.5,8500.1,1.427612917
650,18,8500.1,1.529468683
651,18.5,8500.1,1.637125248
652,19,8500.1,1.750775869
653,19.5,8500.1,1.870562124
654,20,8500.1,1.996637929
655,20.5,8500.1,2.129200643
656,21,8500.1,2.268389132
657,21.5,8500.1,2.414358849
658,22,8500.1,2.567276692
659,22.5,8500.1,2.727306444
660,23,8500.1,2.894607229
661,23.5,8500.1,3.069347966
662,24,8500.1,3.251681407
663,24.5,8500.1,3.441773233
664,25,8500.1,3.630456569
665,25.5,8500.1,3.835821043
666,26,8500.1,4.032710568
667,26.5,8500.1,4.241125341
668,27,8500.1,4.449063355
669,27.5,8500.1,4.661875418
670,28,8500.1,4.852994616
671,28.5,8500.1,5.08224962
682,10,8500.2,0.481729787
683,10.5,8500.2,0.525558956
684,11,8500.2,0.568165639
685,11.5,8500.2,0.61410361
686,12,8500.2,0.663448831
687,12.5,8500.2,0.698032415
688,13,8500.2,0.740260153
689,13.5,8500.2,0.799554827
690,14,8500.2,0.862408472
691,14.5,8500.2,0.929056425
692,15,8500.2,1
693,15.5,8500.2,1.075563823
694,16,8500.2,1.156057352
695,16.5,8500.2,1.222221026
696,17,8500.2,1.302507781
697,17.5,8500.2,1.39842023
698,18,8500.2,1.499683698
699,18.5,8500.2,1.60684014
700,19,8500.2,1.720412471
701,19.5,8500.2,1.841210612
702,20,8500.2,1.970336832
703,20.5,8500.2,2.109833019
704,21,8500.2,2.263126521
705,21.5,8500.2,2.435198179
706,22,8500.2,2.632733365
707,22.5,8500.2,2.86497599
708,23,8500.2,3.066117172
709,23.5,8500.2,3.297512438
730,10,9500.1,0.480141536
731,10.5,9500.1,0.514647061
732,11,9500.1,0.55200543
733,11.5,9500.1,0.593624649
734,12,9500.1,0.639538926
735,12.5,9500.1,0.68881408
736,13,9500.1,0.742183679
737,13.5,9500.1,0.799805193
738,14,9500.1,0.86189962
739,14.5,9500.1,0.928566582
740,15,9500.1,1
741,15.5,9500.1,1.076354954
742,16,9500.1,1.157795609
743,16.5,9500.1,1.244489908
744,17,9500.1,1.336597646
745,17.5,9500.1,1.434291083
746,18,9500.1,1.537732519
